# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=portuguese,Português Portugal
	ICON=Icons/portugal-portuguese.png
	ORDER=11

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_NS=
		Não desligues a consola
		quando este ícone for exibido
	AUTOSAVING_TITLE_PS4=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_PS4=
		Não desligues a consola
		quando este ícone for exibido
	AUTOSAVING_TITLE_XB1=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_XB1=
		Não desligues a consola
		quando este ícone for exibido
	AUTOSAVING_TITLE_PC=
		Este jogo grava automaticamente
	AUTOSAVING_DESC_PC=
		Não desligues o computador
		quando este ícone for exibido

# Main Menu
	MENU_DEBUG=		~DEBUG~
	MENU_BEGIN=		ESCALAR
	MENU_PICO8=		PICO-8
	MENU_OPTIONS=	Opções
	MENU_CREDITS=	Créditos
	MENU_EXIT=		Sair

# Options
	OPTIONS_TITLE=			OPÇÕES
	OPTIONS_CONTROLS=		CONTROLOS
	OPTIONS_RUMBLE_PC=		Vibração
	OPTIONS_RUMBLE_PS4=		Vibração
	OPTIONS_RUMBLE_XB1=		Vibração
	OPTIONS_RUMBLE_NS=		Vibração
	OPTIONS_RUMBLE_ON=		100%
	OPTIONS_RUMBLE_HALF=	50%
	OPTIONS_RUMBLE_OFF=		Desligado
	OPTIONS_GRAB_MODE=		Modo de Agarrar
	OPTIONS_CROUCH_DASH_MODE=	Modo de Dash Agachado
	OPTIONS_BUTTON_PRESS=	Premir
	OPTIONS_BUTTON_HOLD=	Segurar
	OPTIONS_BUTTON_INVERT=	Inverter
	OPTIONS_BUTTON_TOGGLE=	Alternar
	OPTIONS_KEYCONFIG=		Configuração do Teclado
	OPTIONS_BTNCONFIG=		Configuração do Comando

	OPTIONS_VIDEO=			VÍDEO
	OPTIONS_FULLSCREEN=		Ecrã Inteiro
	OPTIONS_WINDOW=			Escala da Janela
	OPTIONS_VSYNC=			Sincronização Vertical
	OPTIONS_VIEWPORT_NS=	Ajustar Tamanho do Ecrã
	OPTIONS_VIEWPORT_PS4=	Ajustar Tamanho do Ecrã
	OPTIONS_VIEWPORT_XB1=	Ajustar Tamanho do Ecrã
	OPTIONS_VIEWPORT_PC=	Ajustar Tamanho do Ecrã
	OPTIONS_DISABLE_FLASH=	Modo Fotossensível
